75,FF0A,2006,2D06,3B06,8206
0C,0FB2,062B,0637,067F,0673
0C,0FB3,062D,063A,0681,0675
0C,0FB4,062E,063C,0682,0675
0C,0FB5,062D,063A,0681,0675
0C,0FB6,062C,0639,0680,0674
0C,0FB7,062B,0638,0680,0673
0C,0FB8,062D,063B,0681,0675
0C,0FB9,062D,063C,0682,0676
0C,0FBA,062E,063B,0681,0674
0C,0FBB,062C,0639,0680,0673
0C,0FBC,062B,0637,067F,0673
0C,0FBD,062D,063A,0681,0675
0C,0FBE,062E,063C,0681,0675
0C,0FBF,062C,063A,0681,0675
0C,0FC0,062C,0639,0680,0673
0C,0FC1,062B,0637,0680,0672
0C,0FC2,062D,063A,0681,0674
0C,0FC3,062E,063C,0681,0675
0C,0FC4,062D,063A,0681,0675
0C,0FC5,062C,0639,0680,0673
0C,0FC6,062B,0639,0680,0672
0C,0FC7,062D,063A,0681,0675
0C,0FC8,062D,063B,0681,0676
0C,0FC9,062C,063A,0681,0674
0C,0FCA,062B,0638,0680,0673
0C,0FCB,062B,0637,067F,0673
0C,0FCC,062E,063A,0680,0675
0C,0FCD,062D,063B,0681,0676
0C,0FCE,062D,063A,0680,0675
0C,0FCF,062C,0639,0680,0674
0C,0FD0,062B,0638,0680,0673
0C,0FD1,062D,063A,0681,0675
0C,0FD2,062D,063B,0682,0676
0C,0FD3,062D,063A,0681,0675
0C,0FD4,062B,0639,0681,0674
0C,0FD5,062B,0638,067F,0673
0C,0FD6,062C,063A,0681,0675
0C,0FD7,062D,063B,0682,0676
0C,0FD8,062D,063A,0681,0675
0C,0FD9,062C,0639,0680,0673
0C,0FDA,062B,0638,067F,0673
0C,0FDB,062D,063B,0681,0675
0C,0FDC,062F,063D,0682,0675
0C,0FDD,062D,063A,0681,0675
0C,0FDE,062C,0639,0680,0674
0C,0FDF,062C,0639,0680,0673
0C,0FE0,062D,063B,0681,0676
0C,0FE1,062E,063C,0682,0676
0C,0FE2,062D,063B,0681,0675
0C,0FE3,062C,0639,0681,0674
0C,0FE4,062B,0638,0680,0673
0C,0FE5,062D,063B,0681,0675
0C,0FE6,062E,063B,0681,0676
0C,0FE7,062D,063A,0681,0675
0C,0FE8,062B,0639,0680,0673
0C,0FE9,062B,0637,0680,0673
0C,0FEA,062E,063B,0681,0675
0C,0FEB,062F,063C,0682,0676
0C,0FEC,062E,063A,0681,0675
0C,0FED,062C,0639,0680,0674
0C,0FEE,062C,0639,067F,0673
0C,0FEF,062E,063B,0681,0676
0C,0FF0,062E,063B,0682,0676
0C,0FF1,062D,063A,0681,0675
0C,0FF2,062C,0639,0680,0674
0C,0FF3,062A,0638,0680,0673
0C,0FF4,062D,063A,0681,0674
0C,0FF5,062E,063C,0682,0676
0C,0FF6,062D,063B,0681,0675
0C,0FF7,062C,0639,0680,0673
0C,0FF8,062C,0638,067F,0673
0C,0FF9,062D,063B,0681,0675
0C,0FFA,062E,063B,0681,0675
0C,0FFB,062D,063A,0681,0675
0C,0FFC,062C,0638,0680,0674
0C,0FFD,062B,0639,0680,0673
0C,0FFE,062D,063B,0681,0675
0C,0FFF,062D,063B,0682,0676
0C,1000,062D,063A,0681,0675
0C,1001,062C,0638,0680,0674
0C,1002,062B,0638,0680,0674
0C,1003,062D,063B,0681,0675
0C,1004,062E,063D,0682,0675
0C,1005,062D,063B,0682,0675
0C,1006,062C,0639,0681,0674
0C,1007,062B,0638,067F,0673
0C,1008,062D,063B,0681,0675
0C,1009,062E,063C,0681,0675
0C,100A,062D,063A,0681,0674
0C,100B,062C,0639,0680,0674
0C,100C,062B,0639,0680,0673
0C,100D,062E,063B,0681,0676
0C,100E,062E,063B,0682,0677
0C,100F,062D,063B,0681,0675
0C,1010,062C,0639,0681,0674
0C,1011,062B,0638,0680,0673
0C,1012,062D,063B,0682,0675
0C,1013,062E,063C,0682,0676
0C,1014,062D,063A,0681,0675
0C,1015,062C,0638,0680,0674
0C,1016,062C,0638,067F,0673
0C,1017,062D,063A,0681,0675
0C,1018,062D,063B,0682,0676
0C,1019,062D,063A,0681,0674
0C,101A,062B,0638,0680,0674
0C,101B,062B,0638,067F,0673
0C,101C,062D,063B,0680,0675
0C,101D,062E,063C,0681,0676
0C,101E,062D,063A,0681,0675
0C,101F,062B,0638,0680,0674
0C,1020,062B,0638,067F,0673
0C,1021,062D,063B,0681,0675
0C,1022,062E,063C,0682,0675
0C,1023,062D,063A,0681,0675
0C,1024,062C,0638,0681,0675
0C,1025,062B,0638,0680,0673
0C,1026,062D,063A,0681,0675
0C,1027,062E,063C,0681,0675
0C,1028,062E,063B,0680,0674
0C,1029,062B,0638,0681,0674
0C,102A,062B,0638,067F,0673
0C,102B,062D,063A,0681,0675
0C,102C,062D,063B,0682,0677
0C,102D,062C,063A,0681,0675
0C,102E,062B,0638,0680,0674
0C,102F,062A,0637,067F,0673
0C,1030,062C,063A,0681,0675
0C,1031,062D,063B,0681,0675
0C,1032,062D,0639,0680,0675
0C,1033,062C,0638,0680,0673
0C,1034,062B,0638,067F,0673
0C,1035,062D,063A,0681,0675
0C,1036,062D,063B,0681,0676
0C,1037,062D,063B,0681,0675
0C,1038,062B,0639,0680,0674
0C,1039,062A,0638,067F,0673
0C,103A,062D,063A,0681,0674
0C,103B,062D,063B,0681,0675
0C,103C,062D,063A,0681,0675
0C,103D,062C,0639,0681,0673
0C,103E,062B,0637,0680,0673
0C,103F,062D,063B,0682,0676
0C,1040,062D,063B,0682,0676
0C,1041,062C,063A,0681,0675
0C,1042,062C,0639,0681,0673
0C,1043,062C,0639,0680,0673
0C,1044,062E,063B,0681,0675
0C,1045,062E,063C,0681,0676
0C,1046,062D,063B,0681,0675
0C,1047,062C,0638,0680,0674
0C,1048,062B,0638,0680,0673
0C,1049,062E,063B,0681,0675
0C,104A,062F,063C,0682,0676
0C,104B,062D,063A,0681,0675
0C,104C,062C,0639,0680,0674
0C,104D,062B,0638,067F,0673
0C,104E,062D,063A,0680,0675
0C,104F,062E,063B,0681,0676
0C,1050,062D,063A,0680,0675
0C,1051,062B,0638,0680,0673
0C,1052,062A,0638,0680,0673
0C,1053,062C,063A,0681,0675
0C,1054,062E,063B,0681,0675
0C,1055,062D,063A,0681,0675
0C,1056,062C,0639,0680,0673
0C,1057,062B,0637,067F,0673
0C,1058,062D,063B,0681,0674
0C,1059,062E,063B,0681,0675
0C,105A,062D,063A,0680,0675
0C,105B,062D,0638,067F,0673
0C,105C,062C,0638,067F,0673
0C,105D,062E,063B,0681,0675
0C,105E,062E,063C,0681,0675
0C,105F,062D,063A,0681,0675
0C,1060,062C,0638,0680,0674
0C,1061,062B,0637,0680,0673
0C,1062,062D,063B,0682,0676
0C,1063,062E,063B,0681,0676
0C,1064,062D,063A,0681,0674
0C,1065,062C,0638,0680,0673
0C,1066,062B,0638,067F,0673
0C,1067,062E,063B,0681,0676
0C,1068,062E,063B,0681,0676
0C,1069,062C,063A,0681,0674
0C,106A,062C,0639,0681,0674
0C,106B,062C,0639,0680,0673
0C,106C,062E,063B,0681,0675
0C,106D,062F,063C,0682,0677
0C,106E,062D,063A,0680,0675
0C,106F,062C,0638,067F,0673
0C,1070,062B,0637,067F,0673
0C,1071,062E,063A,0680,0675
0C,1072,062F,063B,0681,0676
0C,1073,062E,063B,0681,0675
0C,1074,062B,0639,0680,0674
0C,1075,062B,0637,067F,0673
0C,1076,062D,063A,0682,0675
0C,1077,062E,063C,0682,0676
0C,1078,062D,0639,0681,0675
0C,1079,062B,0638,0680,0674
0C,107A,062B,0638,067F,0672
0C,107B,062D,063B,0681,0676
0C,107C,062D,063B,0682,0676
0C,107D,062E,063B,0681,0675
0C,107E,062D,0639,0681,0675
0C,107F,062B,0638,0680,0673
0C,1080,062D,063A,0681,0675
0C,1081,062F,063C,0682,0676
0C,1082,062E,063B,0681,0676
0C,1083,062C,0639,0680,0674
0C,1084,062B,0637,067F,0672
0C,1085,062D,063B,0681,0675
0C,1086,062E,063C,0682,0676
0C,1087,062D,063A,0681,0675
0C,1088,062C,0639,0681,0674
0C,1089,062B,0638,067F,0672
0C,108A,062D,063A,0680,0675
0C,108B,062D,063B,0681,0676
0C,108C,062C,063A,0681,0675
0C,108D,062B,0638,0680,0674
0C,108E,062B,0637,0680,0673
0C,108F,062D,063A,0681,0676
0C,1090,062E,063B,0681,0676
0C,1091,062D,063A,0681,0675
0C,1092,062C,0639,0680,0674
0C,1093,062C,0638,0680,0673
0C,1094,062D,063B,0682,0676
0C,1095,062D,063B,0681,0676
0C,1096,062D,0639,0680,0675
0C,1097,062C,0638,067F,0674
0C,1098,062B,0638,067F,0672
0C,1099,062C,063A,0682,0675
0C,109A,062D,063B,0681,0676
0C,109B,062C,063A,0681,0674
0C,109C,062B,0638,067F,0672
0C,109D,062B,0637,067E,0672
0C,109E,062D,063B,0681,0675
0C,109F,062E,063B,0682,0676
0C,10A0,062D,063A,0681,0676
0C,10A1,062C,0638,0680,0674
0C,10A2,062C,0638,067F,0673
0C,10A3,062D,063A,0681,0675
0C,10A4,062D,063B,0681,0676
0C,10A5,062E,0639,0681,0676
0C,10A6,062C,0638,0680,0674
0C,10A7,062B,0637,0680,0674
0C,10A8,062E,063B,0682,0676
0C,10A9,062E,063C,0682,0676
0C,10AA,062C,063A,0682,0675
0C,10AB,062C,0639,0680,0674
0C,10AC,062C,0638,067F,0674
0C,10AD,062E,063B,0682,0676
0C,10AE,062F,063C,0682,0676
0C,10AF,062D,063A,0680,0675
0C,10B0,062B,0638,0680,0674
0C,10B1,062B,0638,067F,0672
0C,10B2,062D,063A,0681,0676
0C,10B3,062E,063B,0681,0676
0C,10B4,062E,063B,0681,0676
0C,10B5,062C,0638,0680,0674
0C,10B6,0629,0636,067F,0672
0C,10B7,062D,063A,0681,0675
0C,10B8,062D,063A,0681,0675
0C,10B9,062D,063A,0682,0675
0C,10BA,062C,0638,067F,0673
0C,10BB,062C,0638,067F,0673
0C,10BC,062D,063B,0682,0676
0C,10BD,062F,063C,0682,0676
0C,10BE,062D,0639,0681,0675
0C,10BF,062C,0639,0680,0674
0C,10C0,062B,0639,0680,0674
0C,10C1,062D,063A,0680,0675
0C,10C2,062E,063B,0681,0676
0C,10C3,062E,063B,0681,0675
0C,10C4,062C,0638,0680,0674
0C,10C5,062A,0637,067F,0672
0C,10C6,062D,063B,0680,0675
0C,10C7,062E,063B,0681,0675
0C,10C8,062D,063A,0680,0675
0C,10C9,062C,0638,0680,0674
0C,10CA,062B,0637,067E,0672
0C,10CB,062E,063A,0680,0675
0C,10CC,062E,063C,0680,0675
0C,10CD,062D,063A,0680,0674
0C,10CE,062B,0638,0680,0674
0C,10CF,062A,0638,0680,0673
0C,10D0,062D,063A,0681,0675
0C,10D1,062E,063B,0681,0676
0C,10D2,062D,063A,0680,0675
0C,10D3,062C,0638,0680,0674
0C,10D4,062B,0637,0680,0673
0C,10D5,062D,063A,0681,0675
0C,10D6,062E,063B,0682,0676
0C,10D7,062D,063A,0681,0675
0C,10D8,062B,0638,0680,0673
0C,10D9,062B,0638,067F,0672
0C,10DA,062C,063A,0681,0675
0C,10DB,062D,063C,0681,0676
0C,10DC,062D,063A,0680,0674
0C,10DD,062B,0638,0680,0673
0C,10DE,062B,0639,0680,0673
0C,10DF,062D,063B,0681,0675
0C,10E0,062E,063C,0682,0675
0C,10E1,062D,063A,0681,0675
0C,10E2,062C,0639,0680,0673
0C,10E3,062B,0638,067F,0673
0C,10E4,062D,063A,0681,0674
0C,10E5,062E,063B,0682,0676
0C,10E6,062C,0639,0681,0675
0C,10E7,062B,0638,0680,0674
0C,10E8,062B,0638,067F,0673
0C,10E9,062E,063B,0681,0675
0C,10EA,062E,063C,0682,0676
0C,10EB,062D,063A,0680,0674
0C,10EC,062C,0638,0680,0673
0C,10ED,062A,0638,0680,0674
0C,10EE,062E,063B,0681,0676
0C,10EF,062E,063C,0681,0676
0C,10F0,062D,063B,0681,0675
0C,10F1,062C,063A,0680,0673
0C,10F2,062B,0638,067F,0673
0C,10F3,062D,063A,0681,0675
0C,10F4,062E,063C,0681,0675
0C,10F5,062D,0639,0681,0675
0C,10F6,062B,0638,0680,0673
0C,10F7,062A,0638,067F,0672
0C,10F8,062D,063A,0681,0675
0C,10F9,062E,063B,0682,0676
0C,10FA,062C,063A,0680,0674
0C,10FB,062B,0637,067F,0673
0C,10FC,062B,0638,067F,0674
0C,10FD,062D,063B,0682,0676
0C,10FE,062E,063B,0682,0676
0C,10FF,062C,063A,0682,0676
0C,1100,062B,0638,0680,0673
0C,1101,062B,0638,0680,0673
0C,1102,062D,063C,0682,0675
0C,1103,062E,063C,0682,0675
0C,1104,062E,063B,0681,0675
0C,1105,062C,0639,0681,0674
0C,1106,062C,0639,067F,0673
0C,1107,062D,063B,0681,0676
0C,1108,062E,063B,0681,0675
0C,1109,062C,063A,0680,0674
0C,110A,062B,0638,0680,0673
0C,110B,062B,0637,0680,0674
0C,110C,062E,063B,0682,0676
0C,110D,062D,063B,0681,0675
0C,110E,062C,0639,0681,0674
0C,110F,062B,0639,0681,0674
0C,1110,062C,0639,0680,0673
0C,1111,062D,063B,0681,0676
0C,1112,062F,063C,0682,0676
0C,1113,062E,063A,0680,0675
0C,1114,062C,0638,0680,0674
0C,1115,062B,0639,0680,0673
0C,1116,062E,063B,0682,0675
0C,1117,062E,063B,0682,0677
0C,1118,062D,063B,0682,0675
0C,1119,062C,0639,0680,0673
0C,111A,062B,0638,067F,0673
0C,111B,062E,063B,0682,0675
0C,111C,062E,063C,0682,0676
0C,111D,062C,063A,0681,0675
0C,111E,062B,0639,0680,0673
0C,111F,062A,0638,0680,0673
0C,1120,062D,063A,0682,0675
0C,1121,062D,063B,0681,0675
0C,1122,062C,063A,0681,0674
0C,1123,062C,0639,0681,0674
0C,1124,062B,0639,0680,0673
0C,1125,062E,063B,0682,0676
0C,1126,062E,063B,0682,0676
0C,1127,062D,063B,0681,0674
0C,1128,062C,0638,0681,0674
0C,1129,062C,0638,067F,0673
0C,112A,062D,063B,0681,0675
0C,112B,062E,063C,0681,0676
0C,112C,062D,063A,0681,0675
0C,112D,062C,0639,0680,0673
0C,112E,062B,0638,067F,0672
0C,112F,062D,063A,0681,0675
0C,1130,062D,063B,0681,0676
0C,1131,062D,063A,0681,0675
0C,1132,062C,0638,0680,0674
0C,1133,062B,0637,067F,0673
0C,1134,062D,063A,0681,0676
0C,1135,062E,063B,0681,0676
0C,1136,062D,0639,0681,0675
0C,1137,062B,0638,0680,0673
0C,1138,062B,0638,067F,0673
0C,1139,062D,063A,0681,0676
0C,113A,062E,063B,0682,0676
0C,113B,062D,0639,0681,0675
0C,113C,062B,0638,0680,0674
0C,113D,062B,0638,067F,0673
0C,113E,062D,063B,0681,0675
0C,113F,062D,063B,0682,0676
0C,1140,062D,063A,0681,0675
0C,1141,062C,0638,0680,0673
0C,1142,062B,0638,0680,0673
0C,1143,062D,063B,0681,0675
0C,1144,062D,063B,0681,0675
0C,1145,062C,063A,0680,0674
0C,1146,062B,0638,0680,0673
0C,1147,062A,0637,067F,0672
0C,1148,062C,063A,0681,0675
0C,1149,062E,063C,0682,0676
0C,114A,062D,063A,0681,0675
0C,114B,062A,0637,0680,0673
0C,114C,062A,0637,0680,0673
0C,114D,062E,063A,0681,0675
0C,114E,062E,063B,0681,0676
0C,114F,062D,063A,0681,0674
0C,1150,062B,0638,0681,0674
0C,1151,062B,0637,067F,0673
0C,1152,062D,063A,0682,0676
0C,1153,062F,063B,0682,0676
0C,1154,062E,063A,0681,0675
0C,1155,062C,0639,0680,0674
0C,1156,062B,0638,067F,0673
0C,1157,062D,063A,0681,0675
0C,1158,062D,063B,0682,0675
0C,1159,062C,0639,0681,0675
0C,115A,062B,0638,0680,0674
0C,115B,062B,0638,0680,0673
0C,115C,062E,063B,0682,0677
0C,115D,062F,063C,0682,0676
0C,115E,062D,063A,0681,0675
0C,115F,062B,0638,0680,0674
0C,1160,062B,0637,067F,0674
0C,1161,062D,063A,0681,0675
0C,1162,062D,063B,0681,0674
0C,1163,062C,0639,0681,0674
0C,1164,062B,0638,0680,0674
0C,1165,062B,0638,067F,0673
0C,1166,062D,063A,0681,0675
0C,1167,062E,063C,0682,0676
0C,1168,062D,063A,0681,0675
0C,1169,062C,0638,0680,0674
0C,116A,062B,0637,0680,0674
0C,116B,062D,063B,0682,0676
0C,116C,062E,063B,0681,0676
0C,116D,062D,063A,0680,0674
0C,116E,062B,0639,067F,0672
0C,116F,062B,0637,067E,0672
0C,1170,062D,063A,0681,0674
0C,1171,062D,063C,0682,0674
0C,1172,062C,063A,0681,0674
0C,1173,062B,0638,067F,0673
0C,1174,062B,0638,0680,0673
0C,1175,062D,063A,0681,0675
0C,1176,062D,063B,0681,0675
0C,1177,062C,0639,0680,0674
0C,1178,062C,0638,0680,0673
0C,1179,062B,0637,067F,0673
0C,117A,062D,063A,0681,0676
0C,117B,062E,063B,0681,0676
0C,117C,062C,0639,0681,0675
0C,117D,062B,0638,0681,0674
0C,117E,062B,0637,0680,0673
0C,117F,062D,063B,0681,0675
0C,1180,062E,063B,0682,0676
0C,1181,062D,0639,0680,0675
0C,1182,062C,0638,067F,0673
0C,1183,062B,0638,0680,0673
0C,1184,062D,063B,0681,0675
0C,1185,062D,063B,0681,0676
0C,1186,062D,063A,0681,0675
0C,1187,062C,0639,0680,0674
0C,1188,062B,0638,0680,0674
0C,1189,062D,063B,0681,0675
0C,118A,062E,063C,0681,0675
0C,118B,062D,063A,0680,0674
0C,118C,062B,0638,0680,0673
0C,118D,062B,0638,067F,0672
0C,118E,062D,063A,0680,0675
0C,118F,062E,063B,0681,0676
0C,1190,062D,0639,0680,0673
0C,1191,062B,0637,067F,0673
0C,1192,062A,0638,067F,0673
0C,1193,062D,063A,0681,0675
0C,1194,062E,063B,0680,0676
0C,1195,062D,063A,0681,0674
0C,1196,062C,0638,067F,0673
0C,1197,062B,0638,067F,0673
0C,1198,062D,063A,0681,0675
0C,1199,062D,063B,0682,0675
0C,119A,062C,0639,0681,0674
0C,119B,062B,0638,0680,0673
0C,119C,062B,0638,067F,0673
0C,119D,062D,063A,0681,0675
0C,119E,062D,063B,0681,0676
0C,119F,062D,0639,0681,0675
0C,11A0,062C,0638,0680,0674
0C,11A1,062A,0638,0680,0674
0C,11A2,062D,063C,0681,0675
0C,11A3,062D,063B,0681,0675
0C,11A4,062C,063A,0681,0674
0C,11A5,062B,0638,067F,0672
0C,11A6,062B,0638,067F,0673
0C,11A7,062D,063B,0681,0675
0C,11A8,062D,063C,0681,0675
0C,11A9,062C,063A,0680,0674
0C,11AA,062C,0638,067F,0673
0C,11AB,062B,0638,067F,0672
0C,11AC,062D,063A,0681,0675
0C,11AD,062D,063B,0681,0676
0C,11AE,062D,063A,0681,0674
0C,11AF,062B,0638,0680,0673
0C,11B0,062A,0637,0680,0673
0C,11B1,062E,063B,0681,0675
0C,11B2,062E,063B,0681,0675
0C,11B3,062C,0639,0681,0675
0C,11B4,062B,0638,0680,0673
0C,11B5,062C,0638,0680,0673
0C,11B6,062D,063B,0682,0676
0C,11B7,062D,063C,0682,0676
0C,11B8,062D,063A,0681,0674
0C,11B9,062C,0638,0680,0674
0C,11BA,062B,0638,0680,0673
0C,11BB,062D,063B,0682,0676
0C,11BC,062E,063B,0681,0676
0C,11BD,062D,063A,0681,0675
0C,11BE,062B,0638,0680,0674
0C,11BF,062B,0637,067F,0673
0C,11C0,062E,063B,0681,0675
0C,11C1,062E,063C,0681,0676
0C,11C2,062C,0639,0681,0674
0C,11C3,062B,0638,0681,0673
0C,11C4,062B,0638,067F,0673
0C,11C5,062D,063B,0681,0675
0C,11C6,062D,063B,0681,0676
0C,11C7,062D,0639,0680,0674
0C,11C8,062C,0638,0680,0674
0C,11C9,062B,0638,0680,0673
0C,11CA,062E,063B,0681,0675
0C,11CB,062D,063B,0681,0676
0C,11CC,062C,063A,0681,0674
0C,11CD,062B,0638,0680,0673
0C,11CE,062B,0637,067F,0673
0C,11CF,062E,063A,0681,0675
0C,11D0,062E,063B,0681,0676
0C,11D1,062D,063A,0681,0675
0C,11D2,062B,0638,0680,0673
0C,11D3,062B,0638,0680,0672
0C,11D4,062D,063A,0681,0675
0C,11D5,062D,063B,0682,0676
0C,11D6,062C,063A,0681,0674
0C,11D7,062B,0638,067F,0673
0C,11D8,062C,0639,0680,0673
0C,11D9,062E,063B,0681,0675
0C,11DA,062E,063B,0681,0675
0C,11DB,062D,063A,0681,0675
0C,11DC,062C,0638,0680,0673
0C,11DD,062B,0638,067F,0673
0C,11DE,062D,063B,0681,0675
0C,11DF,062D,063B,0681,0675
0C,11E0,062C,0639,0681,0675
0C,11E1,062B,0638,0680,0674
0C,11E2,062B,0638,0680,0673
0C,11E3,062D,063B,0681,0675
0C,11E4,062E,063C,0682,0676
0C,11E5,062C,063A,0680,0674
0C,11E6,062C,0638,0680,0673
0C,11E7,062B,0638,067F,0673
0C,11E8,062E,063A,0681,0675
0C,11E9,062D,063B,0681,0675
0C,11EA,062D,063A,0681,0674
0C,11EB,062B,0638,0680,0673
0C,11EC,062B,0637,067F,0673
0C,11ED,062D,063A,0681,0675
0C,11EE,062D,063B,0682,0676
0C,11EF,062D,063A,0681,0674
0C,11F0,062B,0637,0680,0674
0C,11F1,062B,0638,0680,0672
0C,11F2,062E,063B,0681,0675
0C,11F3,062E,063B,0681,0675
0C,11F4,062D,063A,0681,0675
0C,11F5,062C,0638,0680,0673
0C,11F6,062B,0638,067F,0673
0C,11F7,062D,063B,0681,0675
0C,11F8,062F,063B,0681,0675
0C,11F9,062D,063A,0681,0675
0C,11FA,062C,0639,0680,0673
0C,11FB,062C,0639,067F,0673
0C,11FC,062D,063A,0681,0675
0C,11FD,062D,063B,0681,0675
0C,11FE,062D,063A,0681,0675
0C,11FF,062B,0638,0680,0674
0C,1200,062B,0638,0680,0673
0C,1201,062D,063B,0681,0675
0C,1202,062E,063B,0681,0676
0C,1203,062C,0639,0681,0675
0C,1204,062A,0638,0681,0673
0C,1205,062A,0638,0680,0673
0C,1206,062D,063B,0681,0675
0C,1207,062E,063C,0681,0675
0C,1208,062C,0639,0680,0674
0C,1209,062B,0638,067F,0672
0C,120A,062B,0637,067F,0673
0C,120B,062D,063A,0681,0675
0C,120C,062D,063B,0681,0675
0C,120D,062D,063A,0681,0675
0C,120E,062C,0639,0680,0673
0C,120F,062B,0638,0680,0673
0C,1210,062D,063A,0681,0675
0C,1211,062D,063A,0681,0675
0C,1212,062C,063A,0681,0674
0C,1213,062B,0638,0681,0673
0C,1214,062B,0638,067F,0673
0C,1215,062D,063A,0681,0675
0C,1216,062E,063B,0682,0675
0C,1217,062C,0639,0680,0675
0C,1218,062B,0638,0680,0673
0C,1219,062B,0639,0680,0673
0C,121A,062D,063B,0681,0675
0C,121B,062D,063B,0681,0675
0C,121C,062C,0639,0681,0674
0C,121D,062C,0638,0680,0673
0C,121E,062B,0638,0680,0673
0C,121F,062D,063B,0681,0675
0C,1220,062D,063B,0681,0675
0C,1221,062C,0639,0681,0674
0C,1222,062B,0638,0680,0673
0C,1223,062B,0638,0680,0673
0C,1224,062D,063B,0681,0675
0C,1225,062D,063C,0681,0675
0C,1226,062C,0639,0681,0675
0C,1227,062B,0638,0680,0673
0C,1228,062A,0638,0680,0673
0C,1229,062D,063A,0681,0675
0C,122A,062D,063B,0681,0675
0C,122B,062C,063A,0680,0674
0C,122C,062C,0638,067F,0673
0C,122D,062C,0638,067F,0673
0C,122E,062E,063B,0681,0676
0C,122F,062E,063C,0681,0675
0C,1230,062C,063A,0681,0674
0C,1231,062B,0639,0680,0673
0C,1232,062B,0639,067F,0673
0C,1233,062D,063A,0681,0675
0C,1234,062D,063B,0681,0675
0C,1235,062C,063A,0681,0674
0C,1236,062B,0638,067F,0673
0C,1237,062B,0639,0680,0673
0C,1238,062E,063B,0681,0675
0C,1239,062E,063B,0680,0675
0C,123A,062C,063A,0680,0674
0C,123B,062C,0639,067F,0673
0C,123C,062C,0638,0680,0674
0C,123D,062D,063B,0681,0675
0C,123E,062E,063B,0681,0674
0C,123F,062C,0639,0680,0674
0C,1240,062B,0637,067F,0673
0C,1241,062B,0638,067F,0673
0C,1242,062E,063B,0681,0676
0C,1243,062E,063B,0681,0675
0C,1244,062C,0639,0680,0674
0C,1245,062B,0637,0680,0674
0C,1246,062B,0638,067F,0673
0C,1247,062E,063B,0681,0675
0C,1248,062E,063C,0682,0675
0C,1249,062C,063A,0681,0674
0C,124A,062B,0638,0680,0672
0C,124B,062B,0638,067F,0673
0C,124C,062E,063B,0681,0676
0C,124D,062E,063B,0681,0675
0C,124E,062D,063A,0680,0674
0C,124F,062B,0638,067F,0673
0C,1250,062B,0639,067F,0672
0C,1251,062D,063B,0681,0675
0C,1252,062E,063B,0681,0676
0C,1253,062D,063A,0680,0674
0C,1254,062B,0638,0680,0673
0C,1255,062C,0638,0680,0673
0C,1256,062D,063C,0681,0675
0C,1257,062D,063B,0681,0675
0C,1258,062C,0639,0680,0674
0C,1259,062A,0638,0680,0673
0C,125A,062B,0638,067F,0673
0C,125B,062D,063B,0681,0675
0C,125C,062D,063B,0681,0675
0C,125D,062C,0639,0680,0674
0C,125E,062B,0638,0680,0673
0C,125F,062B,0639,0680,0673
0C,1260,062E,063B,0681,0675
0C,1261,062E,063C,0682,0676
0C,1262,062D,063A,0681,0675
0C,1263,062B,0638,0680,0673
0C,1264,062B,0637,0680,0674
0C,1265,062D,063B,0681,0676
0C,1266,062D,063B,0681,0675
0C,1267,062D,063A,0680,0674
0C,1268,062B,0638,0680,0673
0C,1269,062B,0638,067F,0673
0C,126A,062D,063B,0681,0675
0C,126B,062D,063C,0681,0675
0C,126C,062D,0639,0680,0674
0C,126D,062C,0638,067F,0673
0C,126E,062C,0638,067F,0673
0C,126F,062E,063B,0681,0675
0C,1270,062E,063B,0681,0676
0C,1271,062D,063A,0680,0674
0C,1272,062B,0639,0680,0673
0C,1273,062B,0638,0680,0673
0C,1274,062D,063B,0682,0676
0C,1275,062D,063B,0681,0675
0C,1276,062D,063A,0681,0675
0C,1277,062B,0638,0680,0673
0C,1278,062C,0638,067F,0673
0C,1279,062D,063B,0681,0675
0C,127A,062D,063B,0681,0675
0C,127B,062C,0639,0680,0674
0C,127C,062C,0637,067F,0673
0C,127D,062B,0638,0680,0673
0C,127E,062D,063B,0681,0675
0C,127F,062E,063B,0681,0675
0C,1280,062C,0639,0680,0675
0C,1281,062B,0638,067F,0672
0C,1282,062B,0638,067F,0673
0C,1283,062D,063C,0681,0675
0C,1284,062E,063C,0681,0675
0C,1285,062D,063A,0681,0674
0C,1286,062B,0637,067F,0673
0C,1287,062B,0638,0680,0673
0C,1288,062E,063B,0681,0675
0C,1289,062D,063B,0681,0676
0C,128A,062C,063A,0681,0674
0C,128B,062B,0638,0680,0673
0C,128C,062B,0638,0680,0674
0C,128D,062E,063A,0681,0676
0C,128E,062E,063A,0681,0675
0C,128F,062C,063A,0681,0674
0C,1290,062B,0638,0680,0673
0C,1291,062B,0639,0680,0673
0C,1292,062E,063B,0681,0676
0C,1293,062D,063B,0682,0676
0C,1294,062D,0639,0680,0674
0C,1295,062B,0637,067F,0673
0C,1296,062B,0639,0680,0673
0C,1297,062D,063B,0681,0675
0C,1298,062D,063A,0681,0675
0C,1299,062C,0639,0681,0674
0C,129A,062C,0638,067F,0673
0C,129B,062C,0638,0680,0674
0C,129C,062E,063B,0681,0676
0C,129D,062E,063B,0681,0675
0C,129E,062C,063A,0681,0674
0C,129F,062B,0637,0680,0673
0C,12A0,062C,0639,067F,0673
0C,12A1,062D,063B,0681,0675
0C,12A2,062D,063B,0681,0675
0C,12A3,062D,063A,0681,0674
0C,12A4,062C,0637,067F,0673
0C,12A5,062B,0639,0680,0674
